organization,country_firm
Bial,Portugal
Biotecnol,Portugal
Caixa Geral de Depósitos,Portugal
Carris,Portugal
Central de Cervejas,Portugal
Chipidea,Portugal
Churchill's Port,Portugal
Ciberbit,Portugal
Cimpor,Portugal
CMS-Helmets,Portugal
Cofina,Portugal
Conservas Ramirez,Portugal
Continente,Portugal
Corticeira Amorim,Portugal
Critical Software,Portugal
"CTT Correios de Portugal, S.A. (CTT)",Portugal
Delta Cafés,Portugal
EFACEC,Portugal
Energias de Portugal (EDP),Portugal
Fábrica Nacional de Munições de Armas Ligeiras,Portugal
Galp Energia,Portugal
Glintt,Portugal
Grupo José de Mello,Portugal
Iberomoldes,Portugal
Impresa,Portugal
Jerónimo Martins,Portugal
Lactogal,Portugal
Logoplaste,Portugal
Martifer,Portugal
Media Capital,Portugal
Medinfar,Portugal
MEO,Portugal
Montepio,Portugal
Mota-Engil,Portugal
Move Interactive,Portugal
NOS,Portugal
Novabase,Portugal
Novo Banco,Portugal
Pingo Doce,Portugal
Porto Editora,Portugal
Portugal Telecom,Portugal
Quidgest,Portugal
Rádio e Televisão de Portugal,Portugal
Redes Energéticas Nacionais (REN),Portugal
Renova,Portugal
SAPO,Portugal
Semapa,Portugal
Simoldes,Portugal
Soares da Costa,Portugal
SIC,Portugal
Sonae Indústria,Portugal
Sonae,Portugal
Sovena Group,Portugal
Sumol + Compal,Portugal
Tabaqueira,Portugal
TAP Air Portugal,Portugal
Televisão Independente,Portugal
The Navigator Company,Portugal
TIMWE,Portugal
Tranquilidade,Portugal
Tupam editores,Portugal
UMM,Portugal
Unicer Brewery,Portugal
Uniplaces,Portugal
Visabeira,Portugal
Vista Alegre,Portugal
Al Jazeera Media Network,Qatar
Barwa Group,Qatar
BSI-Steel Building System Integration W.L.L,Qatar
GSSG Holding,Qatar
Gulf Drilling International,Qatar
Gulf Helicopters,Qatar
Hamad Medical Corporation,Qatar
International Bank of Qatar (IBQ),Qatar
Kahramaa,Qatar
Muntazah Oryx Investments,Qatar
Nakilat,Qatar
Nehmeh,Qatar
Ooredoo,Qatar
Oryx GTL,Qatar
Qatar Airways,Qatar
Qatar Amiri Flight,Qatar
Qatar Development Bank,Qatar
Qatar Exchange,Qatar
Qatar Executive,Qatar
Qatar Insurance,Qatar
QNB Group,Qatar
Qatar National Cement Company,Qatar
Qatar National Company for Medical Projects,Qatar
Qatar Petroleum,Qatar
Qatar Steel,Qatar
Qatargas,Qatar
RasGas,Qatar
Salam International Investment Limited,Qatar
Seashore Group,Qatar
Abrakebabra, Republic of Ireland
Abrakebabra Investments, Republic of Ireland
Accenture, Republic of Ireland
Aer Lingus, Republic of Ireland
Aer Lingus Regional, Republic of Ireland
Aircoach, Republic of Ireland
Airtricity, Republic of Ireland
Allied Irish Banks (AIB), Republic of Ireland
An Post, Republic of Ireland
Apache Pizza, Republic of Ireland
Arnotts, Republic of Ireland
Aventas group, Republic of Ireland
Baltimore Technologies, Republic of Ireland
Bank of Ireland, Republic of Ireland
Barry's Tea, Republic of Ireland
Bewley's, Republic of Ireland
BlueFace, Republic of Ireland
Bord na Móna, Republic of Ireland
Boylesports, Republic of Ireland
BT Ireland, Republic of Ireland
Bus Éireann, Republic of Ireland
Butlers Chocolates, Republic of Ireland
BWG Foods, Republic of Ireland
C&C Group, Republic of Ireland
Central Bank of Ireland, Republic of Ireland
CIÉ, Republic of Ireland
CityJet, Republic of Ireland
Communicorp, Republic of Ireland
Covidien, Republic of Ireland
CRH plc, Republic of Ireland
Cúram Software, Republic of Ireland
DAA, Republic of Ireland
DCC Plc, Republic of Ireland
Dealz, Republic of Ireland
Digiweb, Republic of Ireland
Dublin Bus, Republic of Ireland
Dunnes Stores, Republic of Ireland
Eason & Son, Republic of Ireland
EBS, Republic of Ireland
Eddie Rocket's, Republic of Ireland
EDUN, Republic of Ireland
Eir, Republic of Ireland
Eir Sport, Republic of Ireland
EQTEC, Republic of Ireland
Ervia, Republic of Ireland
ESB Group, Republic of Ireland
Farmflo, Republic of Ireland
FBD Holdings, Republic of Ireland
FINEOS, Republic of Ireland
First Trust Bank, Republic of Ireland
Four Star Pizza, Republic of Ireland
Fyffes, Republic of Ireland
Glanbia, Republic of Ireland
GlenDimplex, Republic of Ireland
GoCar, Republic of Ireland
Greencore, Republic of Ireland
Guineys, Republic of Ireland
Guinness, Republic of Ireland
Havok, Republic of Ireland
Heatons, Republic of Ireland
Iarnród Éireann, Republic of Ireland
Independent News & Media, Republic of Ireland
Insomnia Coffee Company, Republic of Ireland
Intel Ireland, Republic of Ireland
IONA Technologies, Republic of Ireland
Irish Citylink, Republic of Ireland
Irish Continental Group, Republic of Ireland
Irish Ferries, Republic of Ireland
Johnson Controls, Republic of Ireland
KBC Bank Ireland, Republic of Ireland
Kerry Group, Republic of Ireland
Laya Healthcare, Republic of Ireland
Magnet Networks, Republic of Ireland
Medtronic, Republic of Ireland
Meteor, Republic of Ireland
Metro, Republic of Ireland
Musgrave Group, Republic of Ireland
National Lottery, Republic of Ireland
NI Railways, Republic of Ireland
Norkom, Republic of Ireland
Northern Ireland Electricity, Republic of Ireland
Northern Ireland Transport Holding Company, Republic of Ireland
NTR plc, Republic of Ireland
Oatfield, Republic of Ireland
O'Briens Irish Sandwich Bars, Republic of Ireland
Openet, Republic of Ireland
Paddy Power, Republic of Ireland
Permanent TSB, Republic of Ireland
Poplar Linens, Republic of Ireland
Penneys, Republic of Ireland
Rabobank Ireland, Republic of Ireland
Raidió Teilifís Éireann (RTÉ), Republic of Ireland
Ryanair, Republic of Ireland
Shire, Republic of Ireland
Smart Telecom, Republic of Ireland
Smyths, Republic of Ireland
Stobart Air, Republic of Ireland
Supermac's, Republic of Ireland
SuperValu, Republic of Ireland
Teilifís na Gaeilge, Republic of Ireland
Tesco Ireland, Republic of Ireland
The Airporter, Republic of Ireland
The Irish Times, Republic of Ireland
Thomas Crosbie Holdings, Republic of Ireland
Three Ireland, Republic of Ireland
Tipperary Natural Mineral Water, Republic of Ireland
Today FM, Republic of Ireland
Transport Infrastructure Ireland, Republic of Ireland
Virgin Media Television, Republic of Ireland
UDG Healthcare, Republic of Ireland
Ulster Bank, Republic of Ireland
Ulsterbus Foyle, Republic of Ireland
Ulsterbus, Republic of Ireland
Vhi Healthcare, Republic of Ireland
Virgin Media Ireland, Republic of Ireland
Viridian, Republic of Ireland
Vizor, Republic of Ireland
Vodafone Ireland, Republic of Ireland
Wireless Group, Republic of Ireland
Wrightbus, Republic of Ireland
Zamano, Republic of Ireland
Adevărul Holding,Romania
Angst,Romania
Antibiotice Iași,Romania
Apulum,Romania
Arctic S.A.,Romania
Automobile Dacia,Romania
Banca Comercială Română (BCR),Romania
Banca Transilvania,Romania
Blue Air,Romania
BRD – Groupe Société Générale,Romania
Căile Ferate Române,Romania
Continental Hotels,Romania
Dedeman,Romania
European Drinks & Foods,Romania
Farmec,Romania
Ford Romania,Romania
GeCAD Software,Romania
Grup Feroviar Român,Romania
Intact Media Group,Romania
Jolidon,Romania
Mangalia shipyard,Romania
Mega Image,Romania
Metrorex,Romania
Mobexpert,Romania
Napolact,Romania
Orange Romania,Romania
Petrom,Romania
Petromidia Refinery,Romania
Raiffeisen Romania,Romania
RCS & RDS,Romania
Realitatea-Cațavencu,Romania
Regiotrans,Romania
Roman,Romania
Rompetrol,Romania
Romstal,Romania
Romtelecom,Romania
SIVECO Romania,Romania
Softpedia,Romania
Softwin,Romania
TAROM,Romania
Tehnoton,Romania
Telekom Romania,Romania
Terapia Ranbaxy,Romania
Țiriac Holdings,Romania
Transferoviar Grup,Romania
Trilulilu,Romania
Ubisoft Bucharest,Romania
UPC Romania,Romania
Ursus Breweries,Romania
UTI Holdings,Romania
Vodafone Romania,Romania
Zentiva,Romania
A. A. Turki Group,Saudi Arabia
Abdulla Fouad Group of Companies,Saudi Arabia
Advanced Electronics Company Limited,Saudi Arabia
Ahmad Hamad Al Gosaibi & Brothers,Saudi Arabia
Al Baik,Saudi Arabia
Al Bilad Bank,Saudi Arabia
Al Faisaliah Group,Saudi Arabia
Al Madina,Saudi Arabia
Al Riyadh,Saudi Arabia
Al Shoula Group,Saudi Arabia
Al Tazaj,Saudi Arabia
Al Yaum,Saudi Arabia
Al-Bilad,Saudi Arabia
Al Bayan Holding Group,Saudi Arabia
Alawwal Bank,Saudi Arabia
Alinma Bank,Saudi Arabia
Almarai,Saudi Arabia
Al-Muhaidib,Saudi Arabia
Al-Rajhi Bank,Saudi Arabia
Arab National Bank,Saudi Arabia
Bahri,Saudi Arabia
Bin Quraya,Saudi Arabia
Civil and Electrical Projects Contracting Company,Saudi Arabia
Dallah Al-Baraka,Saudi Arabia
Dar Al-Arkan Real Estate Development Company,Saudi Arabia
E. A. Juffali and Brothers,Saudi Arabia
Flynas,Saudi Arabia
Haji Husein Alireza & Co. Ltd.,Saudi Arabia
House of Alireza,Saudi Arabia
Integrated Telecom Company,Saudi Arabia
Islamic Development Bank,Saudi Arabia
Jadwa Investment,Saudi Arabia
Jarir Bookstore,Saudi Arabia
King Fahd Complex for the Printing of the Holy Quran,Saudi Arabia
Kingdom Holding Company,Saudi Arabia
Kudu,Saudi Arabia
Maaden,Saudi Arabia
Mawarid Holding,Saudi Arabia
Mobily,Saudi Arabia
Nadec,Saudi Arabia
Nama Chemicals,Saudi Arabia
National Commercial Bank,Saudi Arabia
Okaz,Saudi Arabia
Olayan Group,Saudi Arabia
Omrania and Associates,Saudi Arabia
Panda Retail Company,Saudi Arabia
Petro Rabigh,Saudi Arabia
Qaym,Saudi Arabia
Rezayat,Saudi Arabia
Riyad Bank,Saudi Arabia
SABIC,Saudi Arabia
SACO Hardware,Saudi Arabia
Samba Financial Group,Saudi Arabia
Saudi Aramco,Saudi Arabia
Dussur,Saudi Arabia
Saudi Binladin Group,Saudi Arabia
Saudi International Petrochemical Company,Saudi Arabia
Saudi Oger,Saudi Arabia
Saudi Railway Company,Saudi Arabia
Saudi Railways Organization,Saudi Arabia
Saudi Readymix Concrete Company,Saudi Arabia
Saudi Telecom Company,Saudi Arabia
Saudia,Saudi Arabia
Savola Group,Saudi Arabia
Siemens Saudi Arabia,Saudi Arabia
The Saudi British Bank,Saudi Arabia
Tasali Snack Foods,Saudi Arabia
Weqaya,Saudi Arabia
Xenel,Saudi Arabia
Yanbu National Petrochemical Company,Saudi Arabia
Zain Saudi Arabia,Saudi Arabia
Zamil Steel Holding,Saudi Arabia
2C2P,Singapore
Aetos Security Management,Singapore
AIBI International,Singapore
Antlabs,Singapore
Aspial Corporation,Singapore
Ayam Brand,Singapore
Bee Cheng Hiang,Singapore
Boustead Singapore,Singapore
BreadTalk,Singapore
Broadcom Limited,Singapore
CapitaLand,Singapore
Carousell,Singapore
Certis CISCO,Singapore
Charles & Keith,Singapore
China Aviation Oil,Singapore
ComfortDelGro,Singapore
Creative Technology,Singapore
DBS Bank,Singapore
dnata Singapore,Singapore
Far East Orchard,Singapore
Far East Organization,Singapore
FilmTack,Singapore
Flextronics,Singapore
Fraser and Neave,Singapore
Garena,Singapore
Genting Singapore,Singapore
GlobalRoam,Singapore
Golden Agri-Resources,Singapore
Grab,Singapore
Great Eastern Life,Singapore
Hyflux,Singapore
Jetstar Asia Airways,Singapore
Jurong Port,Singapore
JTC Corporation,Singapore
Keppel Corporation,Singapore
Koufu,Singapore
M1 Limited,Singapore
Mediacorp,Singapore
MyRepublic,Singapore
NETS,Singapore
Neptune Orient Lines,Singapore
NTUC FairPrice,Singapore
OCBC Bank,Singapore
Osim International,Singapore
PSA International,Singapore
Pacific Century Regional Developments Limited,Singapore
Popular Holdings,Singapore
POSB Bank,Singapore
Quest Global,Singapore
Renewable Energy Corporation,Singapore
Robinsons & Co.,Singapore
SATS Ltd,Singapore
SBS Transit,Singapore
Scoot,Singapore
SembCorp Marine,Singapore
SIA Engineering Company,Singapore
Singapore Press Holdings,Singapore
SMRT Corporation,Singapore
SGAG,Singapore
Sheng Siong,Singapore
Shopee,Singapore
SilkAir,Singapore
Singapore Airlines,Singapore
Singapore Airlines Cargo,Singapore
Singapore Exchange,Singapore
Singapore Petroleum Company Limited,Singapore
SP Group,Singapore
Singapore Post,Singapore
Singtel,Singapore
ST Engineering,Singapore
Standard Chartered Singapore,Singapore
StarHub,Singapore
Systems on Silicon Manufacturing,Singapore
Tangs,Singapore
Tee Yih Jia,Singapore
Temasek Holdings,Singapore
Thakral Corporation,Singapore
Tiger Airways Holdings,Singapore
Twelve Cupcakes,Singapore
Vertex Venture Holdings,Singapore
Ya Kun Kaya Toast,Singapore
Yeo Hiap Seng,Singapore
Wilmar,Singapore
Air Slovakia,Slovakia
Cestné a Stavebné Mechanizmy Tisovec,Slovakia
Doprastav,Slovakia
Elnec,Slovakia
ESET,Slovakia
Glass LPS,Slovakia
Istrobanka,Slovakia
J&T Finance Group,Slovakia
JJ Electronic,Slovakia
Komerční banka Bratislava,Slovakia
Matador,Slovakia
"OFZ, a.s., Istebné,",Slovakia
Orange Slovensko,Slovakia
Penta Investments,Slovakia
Poštová banka,Slovakia
Šariš Brewery,Slovakia
Slovak Airlines,Slovakia
Slovak Telekom,Slovakia
Slovalco,Slovakia
Slovart Music,Slovakia
Slovenská pošta,Slovakia
Slovenská sporiteľňa,Slovakia
Slovenské elektrárne,Slovakia
Slovenský plynárenský priemysel,Slovakia
Slovnaft,Slovakia
Sygic,Slovakia
Tatra banka,Slovakia
O2 Slovakia,Slovakia
Topvar,Slovakia
Transpetrol AS,Slovakia
U.S. Steel Košice,Slovakia
Vagónka,Slovakia
Železničná spoločnosť Slovensko,Slovakia
Zlatý Bažant,Slovakia
ZTS OSOS,Slovakia
Adcock Ingram,South Africa
Afrihost,South Africa
Airports Company South Africa (ACSA),South Africa
Anglo American,South Africa
Anglo American Platinum,South Africa
Aspen Pharmacare,South Africa
Automobile Association of South Africa,South Africa
ABSA Group,South Africa
Business Connexion Group,South Africa
Capitec Bank,South Africa
Cell C,South Africa
Checkers,South Africa
De Beers,South Africa
Defy Appliances,South Africa
De Haan's Bus & Coach,South Africa
Dimension Data,South Africa
e.tv,South Africa
Eskom,South Africa
Exxaro,South Africa
Food Lover's Market,South Africa
First National Bank,South Africa
First Rand,South Africa
FNB Connect,South Africa
Gallo Record Company,South Africa
Gijima Group,South Africa
Gold Fields,South Africa
Golden Arrow Bus Services,South Africa
Harmony Gold,South Africa
Hollard Group,South Africa
Illovo Sugar,South Africa
Impala Platinum,South Africa
Junk Mail Digital Media,South Africa
Kumba Iron Ore,South Africa
Investec,South Africa
LIFE Healthcare Group,South Africa
Mathews & Associates Architects,South Africa
Mediclinic International,South Africa
M-Net,South Africa
Mr. Price Group Ltd.,South Africa
MTN Group,South Africa
MultiChoice,South Africa
MWEB,South Africa
Naspers,South Africa
Nedbank,South Africa
Neotel,South Africa
Netcare,South Africa
Old Mutual,South Africa
Pick 'n Pay,South Africa
Pioneer Foods,South Africa
PPC Ltd.,South Africa
Premier FMCG,South Africa
Primedia,South Africa
Primedia Broadcasting,South Africa
PUTCO,South Africa
RCL Foods,South Africa
Riovic,South Africa
Rovos Rail,South Africa
South African Broadcasting Corporation,South Africa
Sanlam,South Africa
Sasol,South Africa
Shoprite,South Africa
South African Breweries,South Africa
Standard Bank,South Africa
"StarSat, South Africa",South Africa
Telkom,South Africa
Telkom Mobile,South Africa
Tiger Brands,South Africa
Times Media Group,South Africa
Tongaat Hulett,South Africa
Transnet National Ports Authority,South Africa
Transnet,South Africa
Travelstart,South Africa
Union Carriage & Wagon,South Africa
Vodacom,South Africa
Wesizwe Platinum,South Africa
Woolworths,South Africa
3scale,Spain
Abengoa,Spain
Abertis,Spain
Acciona,Spain
Acerinox,Spain
ACS Group,Spain
Afinsa,Spain
Akamon Entertainment,Spain
Almirall,Spain
Amadeus IT Group,Spain
Astilleros y Talleres del Noroeste,Spain
Atresmedia,Spain
Balay,Spain
Banco Bilbao Vizcaya Argentaria (BBVA),Spain
Banco Popular Español,Spain
Banco Sabadell,Spain
Banco Santander,Spain
Banesto,Spain
Bankinter,Spain
Bolsas y Mercados Españoles (BME),Spain
BRB Internacional,Spain
Budgetplaces,Spain
CATUAV,Spain
Chupa Chups,Spain
CIE Automotive,Spain
Cintra,Spain
Compañía Española de Petróleos (CEPSA),Spain
Compañía Logística de Hidrocarburos (CLH),Spain
Construcciones Aeronáuticas SA (CASA),Spain
Construcciones y Auxiliar de Ferrocarriles (CAF),Spain
Copisa,Spain
Correos,Spain
Cortefiel,Spain
Curaxys,Spain
Ebro Foods,Spain
Ebro trucks,Spain
El Corte Inglés,Spain
Enagás,Spain
Endesa,Spain
Eroski,Spain
Euskaltel,Spain
Fagor,Spain
Ferrovial,Spain
Festina,Spain
Fierro Group,Spain
Fomento de Construcciones y Contratas,Spain
Gamesa,Spain
Gas Natural,Spain
GMV Innovating Solutions,Spain
Grundig mobile,Spain
Grupo Agbar,Spain
Grupo Antolin,Spain
Grupo Gea Perona,Spain
Grupo Lo Monaco,Spain
Grupo Puma,Spain
Hipercor,Spain
Iberdrola,Spain
Iberia,Spain
IDAPT,Spain
Idilia Foods,Spain
Inditex,Spain
Indra Sistemas,Spain
Inmobiliaria Colonial,Spain
Irizar,Spain
Joma,Spain
Kelme,Spain
La Caixa,Spain
La Casera,Spain
Lacasa,Spain
Lladró,Spain
Llaollao,Spain
Majorica,Spain
Mango,Spain
Mapfre,Spain
Marfeel,Spain
Mediaset España Comunicación,Spain
Meliá Hotels International,Spain
Mercadona,Spain
Mondragon Corporation,Spain
Mutua Madrileña,Spain
Naipes Heraclio Fournier,Spain
Natra,Spain
Natraceutical,Spain
NH Hotel Group,Spain
Nodosa Shipyard,Spain
Obrascón Huarte Lain,Spain
Orbea,Spain
Pacha Group,Spain
Pescanova,Spain
Planeta Group,Spain
Porcelanosa,Spain
PRISA TV,Spain
Private Media Group,Spain
Prosegur,Spain
Pyro Studios,Spain
Red Eléctrica de España,Spain
Repsol,Spain
RIU Hotels,Spain
Sacyr,Spain
Santana Motor,Spain
SEAT,Spain
SENER,Spain
Sener Aeronáutica,Spain
Talgo,Spain
Técnicas Reunidas,Spain
Telefónica,Spain
Telepizza,Spain
Terra,Spain
Uralita Group,Spain
Vidal,Spain
Vitelcom,Spain
Vodafone Spain,Spain
Vueling,Spain
Zara,Spain
Zinkia Entertainment,Spain
3H Biomedical,Sweden
AarhusKarlshamn,Sweden
Abba Seafood,Sweden
ABU Garcia,Sweden
Acando,Sweden
Acast,Sweden
Acne Studios,Sweden
ÅF,Sweden
AGA,Sweden
Åhléns,Sweden
Alfa Laval,Sweden
Alfdex,Sweden
AP&T,Sweden
Apoteket,Sweden
Aptilo Networks,Sweden
Arcam,Sweden
ASEA,Sweden
ABB Group,Sweden
Assa Abloy,Sweden
Astra AB,Sweden
Atlas Copco,Sweden
Atlet AB,Sweden
Autoliv,Sweden
Avalanche Studios,Sweden
Avanza,Sweden
Axel Johnson AB,Sweden
Axel Johnson Group,Sweden
Axfood,Sweden
Axis Communications,Sweden
BAE Systems AB,Sweden
Bahco,Sweden
Bahnhof,Sweden
Ballograf,Sweden
Berg Propulsion,Sweden
Betsson,Sweden
Biacore,Sweden
BillerudKorsnäs,Sweden
Bindomatic,Sweden
BioGaia,Sweden
Björn Borg,Sweden
Bofors,Sweden
Boghammar Marin AB,Sweden
Boliden AB,Sweden
Bolinder-Munktell,Sweden
Bona AB,Sweden
Bonnier Group,Sweden
Braathens Regional Aviation,Sweden
Bredbandsbolaget,Sweden
Brio,Sweden
Bure Equity,Sweden
Camfil,Sweden
Carnegie Investment Bank,Sweden
Casino Cosmopol,Sweden
Cederroth,Sweden
Cheap Monday,Sweden
Clas Ohlson,Sweden
Clavia,Sweden
Cloetta,Sweden
Columbitech,Sweden
Com Hem,Sweden
Comviq,Sweden
Coop Norden,Sweden
Danir AB,Sweden
Dataphone Scandinavia AB,Sweden
Datasaab,Sweden
DeLaval,Sweden
Destination Gotland,Sweden
Diamyd Medical,Sweden
Dockstavarvet,Sweden
Domnarvet,Sweden
Doro,Sweden
Draim,Sweden
EA DICE,Sweden
Elanders,Sweden
Electrolux,Sweden
Elekta,Sweden
Elektron,Sweden
Elfa International,Sweden
Ellos,Sweden
ENEA AB,Sweden
Eniro,Sweden
Ericsson,Sweden
ESAB,Sweden
Eskilstuna Energy and Environment,Sweden
Esselte,Sweden
European Spallation Source,Sweden
Expander System Sweden AB,Sweden
Fagerhult Group,Sweden
Fatshark,Sweden
Filippa K,Sweden
Fjällräven,Sweden
FKAB,Sweden
Flexlink,Sweden
Föreningsbanken,Sweden
 Foreo,Sweden
Forex Bank,Sweden
Frictional Games,Sweden
Galvin Green,Sweden
GB Glace,Sweden
Gekås,Sweden
Getinge Group,Sweden
Göinge Mekaniska,Sweden
Green Cargo,Sweden
Grimaldi Industri,Sweden
Gunnebo Group,Sweden
H&M,Sweden
Haglöfs,Sweden
Hagström,Sweden
Haldex,Sweden
Hallberg-Rassy,Sweden
Handelsbanken,Sweden
Hasselblad,Sweden
Hästens,Sweden
Hestra,Sweden
Hexagon AB,Sweden
HMS Industrial Networks,Sweden
Höganäs AB,Sweden
Holmen,Sweden
Husaberg,Sweden
Husqvarna Group,Sweden
Hydrauliska Industri AB,Sweden
IAR Systems,Sweden
ICA Gruppen,Sweden
IFS AB,Sweden
Ikano Bank,Sweden
Illuminate Labs,Sweden
IMINT Image Intelligence AB,Sweden
Infranord,Sweden
Ingate Systems,Sweden
Intertex,Sweden
Investment AB Latour,Sweden
Investment AB Öresund,Sweden
Investor AB,Sweden
IsaDora,Sweden
iZettle,Sweden
J.Lindeberg,Sweden
Jeeves,Sweden
Jens of Sweden,Sweden
Jernhusen,Sweden
Jofa,Sweden
Jonsereds Fabrikers AB,Sweden
Kinnevik AB,Sweden
Klarna,Sweden
Kockums Naval Solutions,Sweden
Koenigsegg,Sweden
Kopparbergs Brewery,Sweden
Kosta Glasbruk,Sweden
Krönleins,Sweden
Kungsörnen,Sweden
L E Lundbergföretagen,Sweden
Länsförsäkringar,Sweden
Länsförsäkringar Bank,Sweden
Lantmännen,Sweden
LeoVegas,Sweden
Lindex,Sweden
Linjeflyg,Sweden
LKAB,Sweden
Loomis,Sweden
Lundin Petroleum,Sweden
Luxor AB,Sweden
MachineGames,Sweden
Mälarenergi,Sweden
Maratone Studios,Sweden
Massive Entertainment,Sweden
Mecel,Sweden
Meda AB,Sweden
Micromy,Sweden
Modern Times Group (MTG),Sweden
Mojang,Sweden
Mölnlycke Health Care,Sweden
Monark,Sweden
MySQL AB,Sweden
Najad Yachts,Sweden
Nanoradio,Sweden
Nasdaq Nordic,Sweden
NCC AB,Sweden
Neogames,Sweden
Neonode,Sweden
Nextjet,Sweden
Nobia,Sweden
Nobina,Sweden
NOHAB,Sweden
Nordiska Kompaniet,Sweden
Nordstjernan,Sweden
NorthStar,Sweden
Nudie Jeans,Sweden
Nyby bruk,Sweden
Nyfors,Sweden
Nynas,Sweden
Odd Molly,Sweden
Öhlins,Sweden
Onoff,Sweden
Orexo,Sweden
Oriflame,Sweden
Orrefors glassworks,Sweden
Oskarshamn Shipyard,Sweden
Ovako,Sweden
Pågen,Sweden
Paradox Interactive,Sweden
Peab,Sweden
Peltarion,Sweden
Phadia,Sweden
Pharmacia,Sweden
Polarbröd,Sweden
PostNord,Sweden
PostNord Sverige,Sweden
Primus AB,Sweden
Pripps,Sweden
Profoto,Sweden
Promessa Organic,Sweden
PS Communication,Sweden
Ratos,Sweden
ReadSoft,Sweden
Recipharm,Sweden
Rederi AB Slite,Sweden
Remograph,Sweden
Resurs Holding,Sweden
Saab Automobile,Sweden
Saab Group,Sweden
SamLogic,Sweden
Sandvik,Sweden
SAS Group (Swedish-Norwegian-Danish),Sweden
SCA,Sweden
Scalado,Sweden
Scandic Hotels,Sweden
Scania AB,Sweden
Seavus,Sweden
SEB Group,Sweden
Sector3 Studios,Sweden
Securitas,Sweden
Securitas Direct,Sweden
Semcon,Sweden
SF Studios,Sweden
SIA Glace,Sweden
SIBA,Sweden
Silva compass,Sweden
Simogo,Sweden
SJ AB,Sweden
Skandia,Sweden
Skandinaviska Banken,Sweden
Skanska,Sweden
Skellefteå Kraft,Sweden
SKF,Sweden
Skygoblin,Sweden
Smart Eye,Sweden
Södra,Sweden
Spendrups,Sweden
Spotify,Sweden
SR International – Radio Sweden,Sweden
SSAB,Sweden
Starbreeze Studios,Sweden
Stena Line,Sweden
Stena Sphere,Sweden
Stiga,Sweden
Stockholm Stock Exchange,Sweden
Stockholms Enskilda Bank,Sweden
Studsvik,Sweden
Sveriges Television,Sweden
Sweco,Sweden
Swedbank (FöreningsSparbanken),Sweden
Swedish Match,Sweden
Swedish Orphan Biovitrum,Sweden
Swedish Space Corporation,Sweden
Swegon,Sweden
Symsoft,Sweden
Synergon,Sweden
Syncron International AB,Sweden
Tarsier Studios,Sweden
Tele2,Sweden
Telelogic,Sweden
Telia Company,Sweden
Teracom,Sweden
TerraNet AB,Sweden
Tetra Pak,Sweden
Thule Group,Sweden
Tradedoubler,Sweden
Transmode,Sweden
Trelleborg,Sweden
Trio AB,Sweden
Truecaller,Sweden
Trustly,Sweden
TV4 Group,Sweden
Uddeholms AB,Sweden
Umeå Energi,Sweden
Urbanears,Sweden
V&S Group,Sweden
Vabis,Sweden
Vattenfall,Sweden
Vida AB,Sweden
Volvo,Sweden
Volvo Buses,Sweden
Volvo Financial Services,Sweden
Volvo Penta,Sweden
Volvo Trucks,Sweden
VSM Group,Sweden
Wallenius Lines,Sweden
Wasabröd,Sweden
Wayne's Coffee,Sweden
WESC,Sweden
WG Film,Sweden
Wise Group,Sweden
WM-data,Sweden
X5 Music Group,Sweden
YouPic,Sweden
A. Favre & Fils,Switzerland
ABB Group,Switzerland
ACE Limited,Switzerland
Actelion,Switzerland
Alchimie Forever,Switzerland
Alcon,Switzerland
Allseas,Switzerland
Alpa,Switzerland
ALSO Holding AG,Switzerland
Alternative Bank Switzerland,Switzerland
AMAG Automobil- und Motoren,Switzerland
AMCOR,Switzerland
Antiquorum,Switzerland
Ascom,Switzerland
Atlanship SA,Switzerland
Audemars Piguet,Switzerland
AutoForm,Switzerland
Axpo Holding,Switzerland
Baboo,Switzerland
Bally Shoe,Switzerland
Bâloise,Switzerland
Bamix,Switzerland
Banque SYZ,Switzerland
Barry Callebaut,Switzerland
Basilea Pharmaceutica,Switzerland
Bata Shoes,Switzerland
Bauhaus,Switzerland
"Baumann & Cie, Banquiers",Switzerland
BB Biotech,Switzerland
BDWM Transport,Switzerland
Belair,Switzerland
Berne eXchange,Switzerland
Blancpain,Switzerland
BLS AG,Switzerland
Bolex,Switzerland
Bolliger & Mabillard,Switzerland
Breguet,Switzerland
Breitling SA,Switzerland
Bron Elektronik,Switzerland
"Brown, Boveri & Cie",Switzerland
Burckhardt Compression AG,Switzerland
Caran d'Ache,Switzerland
Cargo Sous Terrain (CST),Switzerland
Century Time Gems,Switzerland
Certina,Switzerland
Charriol,Switzerland
Chemins de fer du Jura,Switzerland
Chopard,Switzerland
Ciba Specialty Chemicals,Switzerland
Circus Knie,Switzerland
Clariant,Switzerland
claro fair trade,Switzerland
CLS Communication,Switzerland
Club Airways International,Switzerland
Coca-Cola HBC AG,Switzerland
Colayer,Switzerland
Comlux,Switzerland
Compagnie Générale de Navigation sur le lac Léman,Switzerland
Coop,Switzerland
Coresystems,Switzerland
Création Baumann,Switzerland
Credit Suisse,Switzerland
Crypto AG,Switzerland
Dartfish,Switzerland
Darwin Airline,Switzerland
Denner,Switzerland
Digital Capital,Switzerland
Digitec Galaxus,Switzerland
DKSH,Switzerland
Doppelmayr Garaventa Group,Switzerland
Dormakaba,Switzerland
Edelweiss Air,Switzerland
Edipresse,Switzerland
EF Education First,Switzerland
Elinchrom,Switzerland
Emmi AG,Switzerland
